ID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Colour,Seats,No. of Doors,New_Price,Price
VWX5SS,Mercedes-Benz New,Kochi,2019,17320,Diesel,Automatic,First,15.8 kmpl,2148 CC,170 bhp,Others,5,4,\N,37.99
RFF65D,Tata Manza,Ahmedabad,2013,47304,Diesel,Manual,First,21.02 kmpl,1248 CC,88.8 bhp,Others,5,4,\N,2.9
5M6R3Z,Fiat Linea,Kolkata,2015,32000,Diesel,Manual,First,20.4 kmpl,1248 CC,91.7 bhp,White,5,4,\N,4.65
7TZPMB,Maruti Swift,Chennai,2008,107000,Diesel,Manual,Second,17.8 kmpl,1248 CC,75 bhp,White,5,4,\N,3.1
B0UPCL,Mercedes-Benz GLE,Hyderabad,2016,50000,Diesel,Automatic,First,17.9 kmpl,2143 CC,201.15 bhp,Others,5,4,79.43 Lakh,49.0
E16P32,BMW 5,Delhi,2013,76000,Diesel,Automatic,First,18.48 kmpl,1995 CC,177 bhp,White,5,4,\N,19.0
QDB6QL,Ford Fiesta,Pune,2010,85000,Petrol,Manual,First,15.3 kmpl,1596 CC,101 bhp,Others,5,4,\N,1.46
B4XELE,BMW 5,Pune,2010,170000,Diesel,Automatic,Third,18.48 kmpl,1995 CC,177 bhp,Black/Silver,5,4,\N,12.0
4MCYR7,Honda City,Coimbatore,2017,45366,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,Black/Silver,5,4,\N,10.88
5G330O,Honda Accord,Bangalore,2010,83000,Petrol,Automatic,Second,11.1 kmpl,2354 CC,142 bhp,White,5,4,\N,6.5
P51YW3,Maruti Alto,Kolkata,2016,31006,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,Others,5,4,\N,2.61
ZE9E98,Mahindra XUV500,Bangalore,2015,76000,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,Others,7,5,\N,12.0
2CM572,Fiat Petra,Pune,2005,120000,Petrol,Manual,Second,15.5 kmpl,1242 CC,null bhp,Others,5,4,\N,0.85
JY7TX1,Skoda Laura,Jaipur,2009,48000,Diesel,Automatic,First,17.0 kmpl,1896 CC,105 bhp,Others,5,4,\N,5.0
U63NRM,Maruti Baleno,Mumbai,2016,8500,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,White,5,4,\N,5.49
2FFBR0,Jeep Compass,Kochi,2018,42203,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,Black/Silver,5,4,21.72 Lakh,19.46
JJSDNA,Hyundai Grand,Mumbai,2017,8500,Petrol,Manual,Second,18.9 kmpl,1197 CC,82 bhp,Black/Silver,5,4,\N,4.8
AFNVMY,BMW X1,Ahmedabad,2012,94000,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,White,5,4,\N,12.5
T530BK,Hyundai EON,Kochi,2016,29832,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,White,5,4,\N,3.29
6YMKS9,Ford Figo,Kochi,2018,32709,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,Black/Silver,5,4,\N,6.46
FQKKCL,Hyundai i20,Coimbatore,2012,38214,Petrol,Manual,Second,18.5 kmpl,1197 CC,80 bhp,White,5,4,\N,4.05
3XLMPV,Hyundai i10,Bangalore,2010,69000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,Others,5,4,\N,2.9
90EINM,Hyundai Grand,Kochi,2017,20773,Diesel,Manual,First,24.0 kmpl,1186 CC,73.97 bhp,White,5,4,8.17 Lakh,5.92
ST58AQ,Toyota Innova,Hyderabad,2014,92247,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,Others,7,4,\N,12.5
0K1ECS,Renault Duster,Mumbai,2014,30000,Diesel,Manual,First,20.46 kmpl,1461 CC,83.8 bhp,White,5,4,\N,5.95
BS8YD2,Maruti Swift,Jaipur,2017,37282,Petrol,Manual,First,20.85 kmpl,1197 CC,83.14 bhp,White,5,4,\N,6.75
QU3AAV,Mercedes-Benz GLE,Coimbatore,2018,29277,Diesel,Automatic,First,11.57 kmpl,2987 CC,254.79 bhp,White,5,4,95.13 Lakh,59.65
R9AZAK,Maruti Wagon,Jaipur,2017,34000,Petrol,Automatic,First,20.51 kmpl,998 CC,67 bhp,Black/Silver,5,4,\N,4.35
4QPAO1,Skoda Superb,Mumbai,2016,53000,Petrol,Automatic,First,14.67 kmpl,1798 CC,177.46 bhp,White,5,4,33.36 Lakh,17.85
R8671L,Toyota Etios,Pune,2014,80102,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,White,5,4,\N,3.5
MKQUYN,Maruti Wagon,Pune,2012,90400,CNG,Manual,First,26.2 km/kg,998 CC,58.2 bhp,Black/Silver,5,4,\N,2.9
8XEULQ,Hyundai Grand,Jaipur,2014,64000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,Black/Silver,5,4,\N,4.15
XVSOA9,BMW 5,Delhi,2013,65000,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,Others,5,4,67.87 Lakh,21.26
GXT2NJ,Maruti Swift,Delhi,2013,72000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,Others,5,4,\N,2.69
1Z3KT9,Tata Indigo,Pune,2010,70500,Petrol,Manual,First,15.64 kmpl,1193 CC,64.1 bhp,Others,5,4,\N,1.5
96ZGBK,Maruti Swift,Pune,2016,27755,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,Others,5,4,\N,5.45
MO03ZD,Toyota Innova,Pune,2018,20300,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,White,7,4,20.97 Lakh,18.0
OGTQLS,Ford Ecosport,Mumbai,2017,22000,Petrol,Manual,First,18.88 kmpl,999 CC,123.24 bhp,White,5,4,\N,7.85
R7UNJ6,Hyundai Verna,Coimbatore,2012,54957,Petrol,Automatic,First,17.1 kmpl,1591 CC,121.4 bhp,White,5,4,\N,5.37
PB09EQ,Renault Duster,Kochi,2013,63295,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,Others,5,4,\N,6.09
MYIPJS,Honda WRV,\N,2018,37430,Petrol,Manual,First,17.5 kmpl,1199 CC,\N,Others,5,\N,10.57 Lakh,9.9
CSV3J9,Toyota Innova,Mumbai,2013,51450,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,Black/Silver,7,4,\N,10.4
PSEB1N,Ford Ikon,Pune,2004,69870,Petrol,Manual,Second,14.2 kmpl,1597 CC,92 bhp,Others,5,4,\N,1.1
7X7W7R,Honda City,Pune,2014,71000,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,White,5,4,\N,7.45
UUEGE0,Mahindra Scorpio,Chennai,2005,50000,Diesel,Manual,First,12.7 kmpl,2609 CC,116.6 bhp,White,8,5,\N,1.94
Z7MHYC,Maruti Esteem,Chennai,2007,30441,Petrol,Manual,First,15.9 kmpl,1298 CC,85 bhp,Black/Silver,5,4,\N,1.45
WHCC1X,Hyundai i10,Pune,2013,54534,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,Others,5,4,\N,3.65
365O4K,Nissan Sunny,Hyderabad,2012,87982,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,Others,5,4,\N,5.0
Z5DC5E,Maruti Swift,Kochi,2016,67906,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,Others,5,4,\N,5.63
4TNI8B,Hyundai Grand,Mumbai,2016,15000,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,Black/Silver,5,4,\N,5.35
DESMLK,Nissan Terrano,Mumbai,2014,40206,Diesel,Manual,First,19.01 kmpl,1461 CC,108.5 bhp,Others,5,4,\N,7.22
0CX2Y4,Audi Q3,Mumbai,2013,60000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,Black/Silver,5,4,\N,22.0
MTS0NE,Mahindra XUV500,Coimbatore,2016,62946,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,White,7,5,\N,11.05
35A8LK,Hyundai i10,Kolkata,2012,29000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,Others,5,4,\N,2.35
P2ADYU,Ford EcoSport,Hyderabad,2016,60924,Petrol,Automatic,First,15.63 kmpl,1499 CC,110.4 bhp,Others,5,4,\N,8.3
L3DGEW,Toyota Innova,Jaipur,2015,75000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,White,8,5,\N,11.75
GBB8GB,Skoda Laura,Delhi,2011,87670,Petrol,Manual,First,13.4 kmpl,1798 CC,157.8 bhp,Others,5,4,\N,4.0
UFNCV8,BMW Z4,Delhi,2011,25000,Petrol,Automatic,First,10.37 kmpl,2979 CC,306 bhp,Black/Silver,2,2,\N,30.0
AMV695,Maruti Dzire,Hyderabad,2011,110000,Diesel,Manual,First,28.4 kmpl,1248 CC,73.75 bhp,Others,5,4,9.14 Lakh,4.0
O8KNBP,BMW X5,Coimbatore,2010,101119,Diesel,Automatic,First,11.0 kmpl,2993 CC,235 bhp,Others,5,4,\N,18.46
YP1079,Audi Q7,Coimbatore,2014,51076,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,Black/Silver,7,5,\N,34.88
XSFEQI,Honda Amaze,Kolkata,2013,40000,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,Others,5,4,\N,3.25
KXMKN1,Mercedes-Benz E-Class,Kochi,2015,59630,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,Black/Silver,5,4,\N,23.41
HSPNN5,Honda City,Delhi,2009,231673,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,Black/Silver,5,4,\N,2.6
38N0LG,Volkswagen Polo,Hyderabad,2017,18500,Petrol,Manual,First,16.2 kmpl,1199 CC,74 bhp,Others,5,4,\N,6.25
VVH3NN,Tata Indica,Chennai,2012,65932,Diesel,\N,Second,22.3 kmpl,1248 CC,74 bhp,White,5,4,\N,1.95
LLITZM,Jaguar XF,Kochi,2016,31150,Diesel,Automatic,First,16.36 kmpl,\N,\N,\N,5,4,\N,30.54
EIFT4K,Hyundai Grand,Hyderabad,2015,35000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,White,5,4,\N,4.88
9PNY80,Chevrolet Cruze,Hyderabad,2011,78203,Diesel,Automatic,First,18.1 kmpl,1991 CC,147.9 bhp,Others,4,4,\N,5.5
5XMSY0,Maruti Ertiga,Delhi,2014,54569,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,Others,7,5,\N,5.99
5FDJYY,Maruti Swift,Hyderabad,2016,55746,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,Black/Silver,5,4,\N,6.95
HK0J0Z,Chevrolet Spark,Kolkata,2007,42100,Petrol,Manual,First,18.0 kmpl,995 CC,62 bhp,Others,5,4,\N,0.99
3OSR0A,Mercedes-Benz A,Pune,2015,11000,Petrol,Automatic,First,15.5 kmpl,1595 CC,120.7 bhp,Black/Silver,5,4,\N,16.0
5EVGXU,Hyundai i20,Mumbai,2009,28000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,Others,5,4,\N,2.65
0IQX2K,Maruti Eeco,Kochi,2018,43912,CNG,Manual,First,15.1 km/kg,1196 CC,73 bhp,Black/Silver,5,4,\N,4.33
RE6QP2,Maruti Baleno,Kochi,2017,25040,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,Others,5,4,\N,7.74
2USYVG,Toyota Corolla,Delhi,2013,56000,Petrol,Automatic,First,14.53 kmpl,1798 CC,138.1 bhp,Others,5,4,\N,8.25
UBAP9U,Maruti Swift,Pune,2010,54898,Petrol,Manual,Third,16.1 kmpl,1298 CC,88.2 bhp,Others,5,4,\N,2.5
C2LGBZ,Maruti Swift,Pune,2016,39000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,Others,5,4,\N,5.8
F66U41,Honda Brio,Mumbai,2012,70000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,Black/Silver,5,4,\N,2.5
63MEPK,Hyundai EON,Hyderabad,2013,84600,Petrol,Manual,Second,21.1 kmpl,814 CC,55.2 bhp,White,5,4,\N,2.5
F6CIGR,Hyundai Verna,Hyderabad,2011,104000,Diesel,Automatic,First,19.08 kmpl,1582 CC,126.32 bhp,Others,5,4,\N,5.75
4LERNR,Ford Endeavour,Hyderabad,2016,68000,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,Black/Silver,7,5,\N,29.5
X3TX2Z,Ford Figo,Hyderabad,2012,73500,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,White,5,4,\N,2.6
ZNVGCQ,Maruti Wagon,Delhi,2015,13008,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,White,5,4,\N,3.5
TCX0LE,Mercedes-Benz M-Class,Hyderabad,2012,83000,Diesel,Automatic,First,11.74 kmpl,2987 CC,254.8 bhp,Others,5,4,\N,36.0
J6H4DR,Ford Fiesta,Hyderabad,2006,69000,Petrol,Manual,First,16.6 kmpl,1388 CC,68 bhp,Black/Silver,5,4,\N,2.15
JMA7IF,Hyundai i20,Kolkata,2011,37000,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,Black/Silver,5,4,\N,2.95
C9D9HD,Hyundai Creta,Hyderabad,2015,48200,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,Others,5,4,\N,9.0
RKU297,BMW 5,Delhi,2012,49000,Diesel,Automatic,Second,16.73 kmpl,2495 CC,218 bhp,Others,5,4,\N,15.5
Q9B02H,Mahindra XUV500,Chennai,2011,126000,Diesel,Manual,Third,16.0 kmpl,2179 CC,140 bhp,Others,7,5,\N,6.7
3HP41O,Volkswagen Vento,Mumbai,2014,56058,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,Others,5,4,\N,4.95
K6Z6YD,Maruti Baleno,Coimbatore,2018,25093,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,Others,5,4,\N,7.76
5BKK2I,Honda Brio,Delhi,2012,40315,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,Black/Silver,5,4,5.92 Lakh,2.75
S0VX6X,Honda Brio,Pune,2012,59000,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,Others,5,4,\N,3.25
HV31MJ,BMW 5,Coimbatore,2016,76467,Diesel,Automatic,First,18.12 kmpl,1995 CC,190 bhp,Others,5,4,\N,30.45
M674ZS,Honda Amaze,Delhi,2015,48000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,Others,5,4,\N,4.5
WYUKYZ,Mercedes-Benz New,Mumbai,2010,39000,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,White,5,4,\N,9.5
EDOHGD,Honda City,Kolkata,2011,48466,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,White,5,4,\N,3.26
8LAES9,Maruti Dzire,Hyderabad,2013,34900,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,Black/Silver,5,4,7.97 Lakh,5.49
8TRNBN,Mahindra XUV500,Coimbatore,2017,64961,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,Black/Silver,7,5,\N,16.13
9ZM2T7,BMW X1,Chennai,2016,21000,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,Others,5,4,\N,33.0
L6GB69,Honda City,Hyderabad,2016,36891,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,White,5,4,\N,10.49
O7JG36,Jeep Compass,Mumbai,2017,7000,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,Others,5,4,24.02 Lakh,17.45
S150YB,Maruti Wagon,Mumbai,2010,37822,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,White,5,4,5.04 Lakh,2.35
8ZX67U,Hyundai Grand,Kochi,2015,81828,Diesel,Manual,First,24.0 kmpl,1186 CC,73.97 bhp,Black/Silver,5,4,8.68 Lakh,5.43
M2VVIO,Honda Brio,Ahmedabad,2012,50000,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,White,5,4,\N,3.65
OCSXBT,Hyundai Xcent,Pune,2016,76000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,Black/Silver,5,4,\N,3.8
02YTVR,Audi A7,Kolkata,2012,24720,Diesel,Automatic,Second,0.0 kmpl,2967 CC,241.4 bhp,Others,5,4,\N,28.0
L13WX2,Hyundai EON,Kochi,2013,57759,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,Others,5,4,\N,3.84
E2T62V,Hyundai i20,Jaipur,2013,70933,Diesel,Manual,Second,21.9 kmpl,1396 CC,88.76 bhp,Others,5,4,\N,3.9
824QT1,Toyota Innova,Kochi,2017,33901,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,Others,8,5,\N,14.29
CHZZER,Mercedes-Benz CLA,Coimbatore,2017,13689,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,Others,5,4,\N,28.25
FE5A3H,Hyundai Grand,Delhi,2018,10000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,Others,5,4,7.54 Lakh,6.5
ORJE8D,Hyundai EON,Pune,2013,30000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,White,5,4,\N,2.1
PT06AV,Skoda Octavia,Mumbai,2013,21000,Petrol,Manual,First,16.8 kmpl,1395 CC,138.02 bhp,Others,5,4,\N,8.75
OJE896,Volkswagen Polo,Delhi,2015,58000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,White,5,4,\N,3.95
P4LDYU,Maruti Ertiga,Bangalore,2014,42000,Petrol,Manual,Second,16.02 kmpl,1373 CC,93.7 bhp,Others,7,5,\N,5.94
PFR3RC,Mercedes-Benz New,Coimbatore,2018,24465,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,Others,5,4,\N,39.45
UUDXE6,Maruti Swift,Pune,2011,70000,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,Black/Silver,5,4,\N,1.3
CYNVOG,BMW 3,Delhi,2011,64000,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,White,5,4,\N,10.5
4PS6Z5,Maruti Wagon,Delhi,2014,48500,CNG,Manual,Second,26.6 km/kg,998 CC,58.16 bhp,Others,5,4,\N,2.85
228FK0,Maruti Alto,Coimbatore,2011,46808,Petrol,Manual,Second,24.07 kmpl,998 CC,67.1 bhp,White,5,4,4.7 Lakh,3.19
8ETVC3,Fiat Linea,Kolkata,2010,39852,Petrol,Manual,First,16.0 kmpl,1368 CC,90 bhp,Black/Silver,5,4,\N,1.59
6C4Y1D,Chevrolet Captiva,Jaipur,2009,232000,Diesel,Manual,First,11.5 kmpl,1991 CC,147.9 bhp,Others,7,5,\N,3.5
XUVJFJ,Hyundai Verna,Jaipur,2012,117837,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,White,5,4,\N,4.75
XO692G,Tata New,Kolkata,2011,90000,Diesel,Manual,Second,13.93 kmpl,2179 CC,138.1 bhp,Black/Silver,7,5,\N,2.75
VVRYFB,Mercedes-Benz E-Class,Kolkata,2015,7501,Petrol,Automatic,First,10.0 kmpl,2996 CC,333 bhp,Others,4,4,87.57 Lakh,48.0
9FDR73,Fiat Linea,Kolkata,2010,145000,Diesel,Manual,First,20.4 kmpl,1248 CC,91.7 bhp,Others,5,4,\N,2.6
E90RMT,Honda Brio,Mumbai,2014,35000,Petrol,Automatic,First,16.5 kmpl,1198 CC,86.8 bhp,Others,5,4,\N,4.25
U8QYMF,Ford EcoSport,Mumbai,2017,30000,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,White,5,4,11.89 Lakh,8.99
MQRXWW,Hyundai i10,Kochi,2010,30566,Petrol,Automatic,First,19.2 kmpl,1197 CC,80 bhp,White,5,4,\N,3.32
VN9V21,BMW 3,Ahmedabad,2011,100000,Diesel,Automatic,Second,22.69 kmpl,1995 CC,190 bhp,Others,5,4,43.31 Lakh,10.9
E7JNCI,Maruti Swift,Kolkata,2014,42109,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,White,5,4,\N,4.25
Q52HTH,Mercedes-Benz New,Chennai,2015,26000,Diesel,Manual,First,15.8 kmpl,2148 CC,170 bhp,Black/Silver,5,4,\N,26.0
OVN6XK,Maruti Swift,Kochi,2017,37124,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,Others,5,4,\N,5.44
7SW4DS,Force One,Kolkata,2014,41000,Diesel,Manual,First,17.0 kmpl,2149 CC,139.07 bhp,Black/Silver,7,5,\N,8.0
HQSU25,Mercedes-Benz New,Coimbatore,2017,23550,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,White,5,4,\N,33.66
E87EPZ,Audi Q7,Coimbatore,2016,51002,Diesel,Automatic,First,11.33 kmpl,4134 CC,335.2 bhp,White,7,5,\N,48.91
CL0ZKN,Toyota Innova,Pune,2013,255000,Diesel,Manual,Third,12.99 kmpl,2494 CC,100.6 bhp,Others,7,4,\N,6.5
R8AX66,Hyundai i10,Coimbatore,2014,31446,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,Others,5,4,\N,4.66
EG4SCC,Honda City,Kochi,2015,42831,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,White,5,4,\N,7.11
KPM6TL,Hyundai Grand,Coimbatore,2017,27417,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,Black/Silver,5,4,\N,6.89
JO8SOL,Hyundai Creta,Delhi,2015,27057,Petrol,Manual,Second,15.29 kmpl,1591 CC,121.3 bhp,White,5,4,\N,8.15
7KE077,Honda Jazz,Chennai,2016,14980,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,White,5,4,10.81 Lakh,7.4
TPYLGM,Ford Figo,Chennai,2012,72500,Diesel,Manual,First,18.5 kmpl,1399 CC,68 bhp,Black/Silver,5,4,\N,3.12
K8LYSA,Honda City,Delhi,2010,76752,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,Black/Silver,5,4,\N,3.57
5M9ISO,Nissan Terrano,Mumbai,2016,37000,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,White,5,4,\N,6.5
DWXXDR,Hyundai Verna,Bangalore,2012,80000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,White,5,4,\N,5.25
A5F65F,Mahindra Bolero,Pune,2007,92000,Diesel,Manual,First,13.6 kmpl,2523 CC,63 bhp,White,7,5,\N,2.7
57GFV7,Hyundai Verna,Mumbai,2013,44000,Petrol,Automatic,First,17.1 kmpl,1591 CC,121.4 bhp,White,5,4,\N,5.6
5HUJX2,Maruti Ertiga,Coimbatore,2016,85827,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,White,7,5,\N,7.5
CCSG3I,Mahindra XUV500,Coimbatore,2013,130790,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,Others,7,5,\N,9.24
9GGMLY,BMW X3,Coimbatore,2017,51982,Diesel,Automatic,First,16.55 kmpl,2993 CC,258 bhp,Others,5,4,\N,45.77
4J1SFY,Mercedes-Benz E-Class,Pune,2001,121000,Diesel,Manual,First,15.0 kmpl,2148 CC,null bhp,White,5,4,\N,5.0
HLW8U4,Chevrolet Cruze,Coimbatore,2014,80073,Diesel,Manual,First,17.3 kmpl,1998 CC,163.7 bhp,Others,5,4,\N,7.11
10CL6K,Hyundai Grand,Bangalore,2016,51866,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,White,5,4,\N,5.5
ICAVC1,Jaguar F,Hyderabad,2015,8000,Petrol,Automatic,First,12.5 kmpl,5000 CC,488.1 bhp,Others,2,2,\N,100.0
8FMHR7,Hyundai Xcent,Mumbai,2016,10200,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,Black/Silver,5,4,\N,4.99
GS97LP,Renault Duster,Kolkata,2014,52108,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,Black/Silver,5,4,\N,5.49
Z550TO,Maruti Wagon,Pune,2009,120000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,Others,5,4,\N,1.69
STSQSB,Hyundai Creta,Pune,2016,42244,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,White,5,4,\N,12.0
YFEAXF,Honda City,Mumbai,2015,30000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,White,5,4,15.29 Lakh,8.65
SN6ADR,Maruti Wagon,Mumbai,2015,55000,Petrol,Manual,First,21.5 kmpl,1197 CC,81.80 bhp,Black/Silver,5,4,5.88 Lakh,3.1
8UG9VR,Maruti Swift,Ahmedabad,2012,55002,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,Black/Silver,5,4,\N,4.25
397HA5,Skoda Fabia,Pune,2008,61000,Petrol,Manual,Second,17.5 kmpl,1198 CC,70 bhp,Black/Silver,5,4,\N,1.65
BTEX0G,Hyundai i20,Chennai,2009,69000,Petrol,Manual,Second,18.5 kmpl,1197 CC,80 bhp,White,5,4,\N,2.4
G9ECQZ,Toyota Corolla,Mumbai,2007,67000,Petrol,Manual,Third,13.4 kmpl,1794 CC,125 bhp,Others,5,4,\N,2.2
1J36GT,Mitsubishi Cedia,Pune,2009,97000,Petrol,Manual,First,13.17 kmpl,1999 CC,114 bhp,Others,5,4,\N,3.0
